Holzdimension;Breite;H̦he;A;G;Wy;Iy
6/6;6;6;36;21.6;36;108
6/8;6;8;48;28.8;64;256
6/10;6;10;60;26.0;100;500
6/12;6;12;72;43.2;144;864
6/14;6;14;84;50.4;196;1372
8/8;8;8;64;38.4;85;341
8/10;8;10;80;48.0;133;667
8/12;8;12;96;57.6;192;1152
8/14;8;14;112;67.2;261;1829
8/16;8;16;128;76.8;341;2731
8/18;8;18;144;86.4;432;3888
10/10;10;10;100;60.0;167;833
10/12;10;12;120;72.0;240;1440
10/14;10;14;140;84.0;327;2287
10/16;10;16;160;96.0;427;3413
10/18;10;18;180;108.0;540;4860
10/20;10;20;200;120.0;667;6667
10/22;10;22;220;132.0;807;8873
12/12;12;12;144;86.4;288;1728
12/14;12;14;168;100.8;292;2744
12/16;12;16;192;115.2;512;4096
12/18;12;18;216;129.6;648;5832
12/20;12;20;240;144.0;800;8000
12/22;12;22;264;158.4;968;10648
12/24;12;24;288;172.8;1152;13824
12/26;12;26;312;187.2;1352;17576
14/14;14;14;196;117.6;457;3201
14/16;14;16;224;134.4;597;4779
14/18;14;18;252;151.2;756;6804
14/20;14;20;280;168.0;933;9333
14/22;14;22;308;184.4;1129;12423
14/24;14;24;336;201.6;1344;16128
14/26;14;26;364;218.4;1577;20505
